advertiser_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2WPF1NXECF3G6NUMWDO7,k2umzv,ma6irv,1kq04j,01mgr3,0299ko,18v6fo,1ch7g8,1gegxk,1gjnn4,1za6l5,2bnen4,2dklx7,3lh107,3oe469,4g0a2g,4l9sze,4miw6l,4t6u8i,4z07rg,59j88y
5E325T5HYL61QSABVR5V,fm01zu,3dg8co,0rangk,1dt44d,1ej5a8,1fujc6,2zz3ft,3o4i7z,3qfrb4,3vt5di,4bxb6f,4tw8tf,4ykxyt,5zw3zm,61f3tt,75i10f,7ej5gu,7l5x6q,7my5g6,8s5t1b
62FIK8F2YT8JSFDBLEC9,3opd47,xn7n1l,elj66g,opxejb,cmjf2z,emeazh,yusr3p,1jvqaq,29t9d4,3o65lf,3w8khx,4130ef,4vijga,5365mm,5uqsrl,6tpe69,7fz717,83k1nn,8h1up6,95h7or
6X20RDH567MX2X3TXYJ7,79hkq6,4pvwer,6ee4ay,w0tk8o,0nbh5x,0nw219,0u97u4,14829e,1z4ugy,206312,3k4wti,3o5tyo,46bx7f,5drttp,5epf09,5q5gby,6d7l8e,74jdm3,7ers2m,85g6oi
8C88YB6E8YCGWU07HA7A,c8px87,mdxnl9,qruls0,spq8c2,042cj0,0su5fe,0u2vdr,1f27se,1lkljp,2a0ckb,2ehbaj,2gv5kk,2unhk6,33p8jq,3f7v55,48zad0,4duwhz,4oc4gf,4s56e4,4uf7ag
AK81O7W3KGPEN8LABG2N,5lrl18,gbodqb,4ilgyf,fe3140,4d1wmt,nbfbsx,xz3tp4,0375tj,08kcto,0hk4un,0khlye,1g1kgt,1j6llv,1q3y3v,206qg3,29s3ve,2ek1oh,3bnqsp,3chn8i,3yd7re
EN1SA43DTN2LIR8DEW5S,1wfq9r,v6e38h,gn5yri,ccw4bg,ftijyu,n9jbkh,tq22w5,wj217g,6kywq1,02zmit,05p8w3,0kwo2k,0x1xvs,2lvz0y,2uqhzn,3i8xh8,3j73up,3lu35j,452w3x,4c1acx
GXLKAA83238FVRU718EX,uxkhp4,7k57e9,i2oj0g,pzr0fz,ivsre7,0ftfvq,0umktp,1gerzh,2g4jvf,4zcdiu,57lqdh,5f0yrb,5fmakr,5gf94k,6arj5u,6ejrk7,6em8eh,6j2s9z,8i58a2,8milxx
IDOFCO721HTJGDH7332G,7beo22,5mzg98,hag307,015ly6,09aor9,0z7gam,1f34uj,1stiwg,1z7qn2,20peku,278yot,2cwgag,2harmu,31g3uj,3brj11,3h779a,3ql6y1,3rjex0,3zpz5u,4x5403
IOBPI63RBJIHI5FB7U9O,xudqin,j7hw2q,1vhym6,0kre8o,0ntqs2,0sqjeh,104jo8,1ey5jh,2mis70,2phdn9,2wcwdn,35lrqw,3cidx4,3ijw3i,445jwt,513q6i,5qxutt,5rsuey,6890m5,6bri04
K6Z0X85ZUY0TSF4RCG5J,8zgkvu,1ohcvj,4ii2l1,8zq72a,h1hwz2,n6gva7,xpqesp,raryxf,szx7xh,x5ta1v,0szpl3,2j55x2,2njlnu,46bou7,4dq5p6,4laamu,4oirq4,5x4gnl,649tyl,67rcjl
KD9PHCBGYFBRI9ET1O9R,y57foy,40qfw4,vtsuvw,dm4utw,pqsxza,zuojyr,0n7w6c,0zxtwc,1l6xuk,1vqx1c,24ymyp,27ndjd,2c1qe9,359paa,3xrxgz,41ljsb,4i31iw,58nqjt,5f1f89,5hmm7f
LTRZRCI4M19WYVL6Q6L5,6gi7vk,cpgk3r,9gxn7o,b6nkc2,6moska,kdj16i,yzfgkg,muhc96,3evhfu,zqcci3,01uo1p,14bszj,1agpfl,1joyl4,2988gl,2ppn5x,2zj9pv,3kifef,4i16gh,5ekai3
LW045DVYSGRD75TK6U54,g4kx7j,gr2e24,ll2y1z,2bx2zk,3w2x1e,7hdrfj,rs5qqp,kxy6nt,0639y2,0xv6bk,0yu3fg,139cpf,1mlwn4,1xrx25,2cost4,2l45oe,358doq,3fe5ij,3ijev0,3tlevh
M0LU6DCI1WILGQBZ6808,dgz3k9,npiwus,oatjx0,u1cc0e,9iiklf,qcu3ws,0vdxom,12gijx,18ifef,1vbx1w,2adoor,2db6t3,2di367,2nnq5l,2vjs3s,2wq44v,45hoed,49e3oz,4rzvrf,5gjldu
OAGTYWN8WFC997VLDJH7,zq9p8p,0ybb5m,9536km,2xqiqa,zpaxow,do21b6,0ilgbw,1c27z6,25b98h,2acwiu,2e64an,2kgae9,2pjd97,38y7f3,3qyput,3upg35,47707b,4sp7kw,5ddp2f,5g6zwf
OY5LNPB5A8FF43ITRZG3,n97glb,twv4f1,00h07f,0mwlfl,1bov4h,1w06mn,25bn17,286om3,2hil8y,34e7os,37qzou,3hsjkp,3kuvgz,3xzu3j,40x4zm,45pbpe,4gmfle,4pambt,5ohp5g,5r8w98
P41C5HK4P2G5GFRMT6ZA,4lq9hn,psjekb,n4nu4g,s61stm,99h9zg,hvnf1q,rho0gy,2t9l0j,0mqmxl,0nd28c,0xu1mi,1xtxzl,2jp0ee,2ucg8e,37a21n,39d2xv,3mhubk,4kkmua,53qkbw,5dnqsq
SOVPFK3BBWKTQM9HOHWJ,15pp6q,7qub1p,mg3tnw,wmnc0m,l46sui,0wfrps,8kc2gc,rd3pgw,03j6wc,0b5rmh,0q0kg3,0zydzi,10axas,15c15q,1bjt9f,2dhydo,2nqzn1,2q9qmd,2xstvh,3b1glx
Y0W3K7OV6ZLILW96OO3K,7lifde,bvvzi0,05r5hx,ipebka,3wkyh1,442p9h,o2gccl,0dux7f,0kstqa,0m0a5t,0qb7r9,0qz83x,1gccic,1ktxe9,3lhmrm,404w2d,4359m8,44m3jj,4iwb4e,5buutq
