advertiser_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2WPF1NXECF3G6NUMWDO7,p0dsnt,csdo4h,dlir67,1kq04j,6m92v0,1ch7g8,w3yjck,jlxpgn,jfakjo,ugdfpk,1za6l5,nxm2xm,rpt2cj,np11o4,1gegxk,1gjnn4,2bnen4,3oe469,hwgf22,et9q8s
5E325T5HYL61QSABVR5V,3dg8co,dv136z,jhkyzg,xs6gjg,su1u2t,op53o0,1dt44d,b5uafp,ef53ef,7my5g6,5zw3zm,3vt5di,75i10f,fm01zu,ntsah2,uq90rn,xiusbf,so39n1,qpm6i8,oxc3cv
62FIK8F2YT8JSFDBLEC9,99w6nj,bj5x9v,xjvf92,ffpbxq,dslu5o,29t9d4,v1d2kq,ih1owh,5365mm,s0wxwf,x4x0yz,r5noiv,z4kvly,bwgzkm,mpn2yk,6tpe69,3w8khx,4nunqe,vtrgm1,upwmzv
6X20RDH567MX2X3TXYJ7,kcy4nn,0nw219,zsyqf7,46bx7f,wjicrt,t60geo,79hkq6,pjd3vz,74jdm3,206312,japw9w,sav90m,o2b384,85g6oi,hwm12w,bftro8,mjukt2,mvovi4,ndi3bl,za3qgj
8C88YB6E8YCGWU07HA7A,8x1fk4,sb6sgz,hskcnp,3f7v55,4oc4gf,5zjbo5,kczdli,wwwd6z,2unhk6,w9agzb,dg7dwo,v2heoq,jsug33,7436n0,aevtqx,rnjpos,51qf7s,5n29g6,mdxnl9,fqrt97
AK81O7W3KGPEN8LABG2N,gaxayt,9fx1rf,mgdh34,wjwkko,xz3tp4,iu5tp1,fqrvqm,59f9qj,2ek1oh,48ovdm,604g3a,jo72g4,j6yhq5,29s3ve,ltdb84,1j6llv,56uamd,n04sl2,hmfxqy,gvpi0a
EN1SA43DTN2LIR8DEW5S,4c1acx,gn5yri,inraq9,dw2wro,bjk183,3i8xh8,r7u33k,syefkp,r99d9l,ozsb5j,lz784w,wng9we,wl2x12,izj0ly,2lvz0y,1wfq9r,irqf19,iq8rjx,d10tum,8y9fav
GXLKAA83238FVRU718EX,zshfsx,qvan46,s6boed,ogus73,perhqq,st2e0z,8milxx,k6i0r8,xp6ktz,jll10t,e8mnq1,i2oj0g,u1ipbf,pzr0fz,q087kr,kfyqwm,hxqab8,dhqv4k,6j2s9z,6ejrk7
IDOFCO721HTJGDH7332G,8y08ql,0z7gam,mpp4e5,gnglwo,knxl52,f4skmk,rxtuug,6aovfr,o6d759,278yot,zbyb6g,31g3uj,wyigr5,uixjao,1z7qn2,a5axui,gq5s4n,hag307,dud4j6,d1fws1
IOBPI63RBJIHI5FB7U9O,gc3f2r,yvqdpo,445jwt,i2xhk9,m5ovkr,biltnk,zjwwl3,2mis70,f000fl,sbrkby,s6qnd2,hgpq4t,ckxcxl,6yp1n7,dle4nm,6xiyqw,3ijw3i,35lrqw,104jo8,rp29zj
K6Z0X85ZUY0TSF4RCG5J,xmu2qk,9vps7z,9eec36,ziowtr,cvcx0y,b21xr8,fjw5h9,f8io3y,f276t0,nr159a,yoxfpd,z195of,4dq5p6,5x4gnl,4ii2l1,46bou7,649tyl,lntd8d,qwlmza,rnnv2r
KD9PHCBGYFBRI9ET1O9R,8l596a,hq6knq,jo1hob,kxo57g,hwmszv,igp6ou,vtsuvw,lji8mk,u013jo,6w4e27,65m390,359paa,zuojyr,col93f,e5caxh,frqfe4,0zxtwc,27ndjd,pgbrf5,nflcdb
