advertiser_id,product_id,count
2WPF1NXECF3G6NUMWDO7,p0dsnt,11
2WPF1NXECF3G6NUMWDO7,csdo4h,11
2WPF1NXECF3G6NUMWDO7,dlir67,11
2WPF1NXECF3G6NUMWDO7,1kq04j,11
2WPF1NXECF3G6NUMWDO7,6m92v0,10
2WPF1NXECF3G6NUMWDO7,1ch7g8,10
2WPF1NXECF3G6NUMWDO7,w3yjck,10
2WPF1NXECF3G6NUMWDO7,jlxpgn,10
2WPF1NXECF3G6NUMWDO7,jfakjo,10
2WPF1NXECF3G6NUMWDO7,ugdfpk,9
2WPF1NXECF3G6NUMWDO7,1za6l5,9
2WPF1NXECF3G6NUMWDO7,nxm2xm,8
2WPF1NXECF3G6NUMWDO7,rpt2cj,8
2WPF1NXECF3G6NUMWDO7,np11o4,8
2WPF1NXECF3G6NUMWDO7,1gegxk,8
2WPF1NXECF3G6NUMWDO7,1gjnn4,8
2WPF1NXECF3G6NUMWDO7,2bnen4,8
2WPF1NXECF3G6NUMWDO7,3oe469,8
2WPF1NXECF3G6NUMWDO7,hwgf22,7
2WPF1NXECF3G6NUMWDO7,et9q8s,7
5E325T5HYL61QSABVR5V,3dg8co,11
5E325T5HYL61QSABVR5V,dv136z,11
5E325T5HYL61QSABVR5V,jhkyzg,10
5E325T5HYL61QSABVR5V,xs6gjg,10
5E325T5HYL61QSABVR5V,su1u2t,10
5E325T5HYL61QSABVR5V,op53o0,9
5E325T5HYL61QSABVR5V,1dt44d,9
5E325T5HYL61QSABVR5V,b5uafp,9
5E325T5HYL61QSABVR5V,ef53ef,9
5E325T5HYL61QSABVR5V,7my5g6,9
5E325T5HYL61QSABVR5V,5zw3zm,9
5E325T5HYL61QSABVR5V,3vt5di,8
5E325T5HYL61QSABVR5V,75i10f,8
5E325T5HYL61QSABVR5V,fm01zu,8
5E325T5HYL61QSABVR5V,ntsah2,8
5E325T5HYL61QSABVR5V,uq90rn,8
5E325T5HYL61QSABVR5V,xiusbf,7
5E325T5HYL61QSABVR5V,so39n1,7
5E325T5HYL61QSABVR5V,qpm6i8,7
5E325T5HYL61QSABVR5V,oxc3cv,7
62FIK8F2YT8JSFDBLEC9,99w6nj,13
62FIK8F2YT8JSFDBLEC9,bj5x9v,12
62FIK8F2YT8JSFDBLEC9,xjvf92,11
62FIK8F2YT8JSFDBLEC9,ffpbxq,10
62FIK8F2YT8JSFDBLEC9,dslu5o,10
62FIK8F2YT8JSFDBLEC9,29t9d4,9
62FIK8F2YT8JSFDBLEC9,v1d2kq,9
62FIK8F2YT8JSFDBLEC9,ih1owh,9
62FIK8F2YT8JSFDBLEC9,5365mm,9
62FIK8F2YT8JSFDBLEC9,s0wxwf,8
